scope,position,n,ngram,count,percentage
java,suffix,4,Checkout Repository → Setup Runtime Environment → Maven Install → Maven Tests,1,1.39
python,suffix,4,Checkout Repository → Initialize Security Analysis → Build Project → Perform Security Analysis,17,7.94
python,suffix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Execute Tests,6,2.8
python,suffix,4,Setup Runtime Environment → Install Project Dependencies → Run Static Analysis → Execute Tests,4,1.87
python,suffix,4,Checkout Repository → Setup Runtime Environment → Install Project Dependencies → Run Static Analysis,4,1.87
python,suffix,4,Setup Runtime Environment → Install Project Dependencies → Build Package → Publish Package,3,1.4
python,suffix,4,Setup Runtime Environment → Install Project Dependencies → Build Project → Upload Build Artifacts,3,1.4
python,suffix,4,Checkout Repository → Setup Runtime Environment → Generate Test Coverage → Upload Coverage,2,0.93
python,suffix,4,Switch Git Reference → Initialize Security Analysis → Build Project → Perform Security Analysis,2,0.93
python,suffix,4,Configure Build Profile → Build Static Site → Upload Build Artifacts → Deploy Application,2,0.93
python,suffix,4,Setup Runtime Environment → Install Project Dependencies → Build Project → Publish Package,2,0.93
